clip,label
1028_TSI_HAP_XX,1
1057_ITS_ANG_XX,1
1004_ITH_HAP_XX,1
1055_IEO_HAP_HI,1
1046_TAI_HAP_XX,1
1059_IWL_HAP_XX,1
1029_IEO_DIS_MD,1
1080_IEO_FEA_LO,1
1068_TIE_HAP_XX,1
1058_IWW_HAP_XX,1
1012_IEO_HAP_LO,1
1041_IEO_HAP_HI,1
1002_ITH_HAP_XX,1
1056_IWW_HAP_XX,1
1054_TSI_HAP_XX,1
1059_WSI_HAP_XX,1
1003_ITH_ANG_XX,1
1081_IEO_HAP_MD,1
1050_IEO_HAP_HI,1
1070_IEO_FEA_HI,1
1081_TAI_HAP_XX,1
1003_WSI_HAP_XX,1
1057_IWW_HAP_XX,1
1080_TSI_ANG_XX,1
1058_WSI_HAP_XX,1
1022_ITS_HAP_XX,1
1089_IWL_DIS_XX,1
1037_IWW_HAP_XX,1
1049_TSI_HAP_XX,1
1053_TSI_HAP_XX,1
1034_IEO_HAP_HI,1
1003_TAI_HAP_XX,1
1086_TIE_HAP_XX,1
1043_IEO_HAP_HI,1
1080_ITH_ANG_XX,1
1038_ITS_FEA_XX,1
1012_IOM_ANG_XX,1
1009_TIE_HAP_XX,1
1053_IEO_HAP_HI,1
1047_TSI_HAP_XX,1
1052_IWW_HAP_XX,1
1036_TSI_HAP_XX,1
1085_TAI_HAP_XX,1
1016_MTI_DIS_XX,1
1013_WSI_HAP_XX,1
1042_IEO_FEA_HI,1
1074_IEO_ANG_MD,1
1021_IEO_HAP_HI,1
1033_WSI_HAP_XX,1
1016_WSI_HAP_XX,1
1037_MTI_HAP_XX,1
1053_WSI_HAP_XX,1
1055_IEO_HAP_LO,1
1072_ITS_DIS_XX,1
1057_IWL_HAP_XX,1
1013_IEO_HAP_HI,1
1058_IEO_DIS_MD,1
1003_IOM_ANG_XX,1
1026_IEO_FEA_HI,1
1030_IWW_HAP_XX,1
1064_IEO_HAP_MD,1
1028_TAI_HAP_XX,1
1047_TIE_HAP_XX,1
1024_ITS_ANG_XX,1
1080_WSI_HAP_XX,1
1027_IEO_HAP_HI,1
1042_IWW_HAP_XX,1
1050_IEO_DIS_MD,1
1088_IWW_HAP_XX,1
1020_MTI_ANG_XX,1
1010_IWW_DIS_XX,1
1057_TIE_HAP_XX,1
1057_IEO_HAP_HI,1
1058_IEO_HAP_HI,1
1049_IEO_ANG_MD,1
1040_IEO_HAP_HI,1
1047_IWL_HAP_XX,1
1081_ITS_HAP_XX,1
1059_IWW_HAP_XX,1
1012_IWW_HAP_XX,1
1050_IWW_HAP_XX,1
1037_IEO_HAP_HI,1
1065_ITH_HAP_XX,1
1012_TSI_HAP_XX,1
1051_IWW_HAP_XX,1
1076_IWW_HAP_XX,1
1059_TIE_HAP_XX,1
1072_IEO_HAP_HI,1
1002_TIE_HAP_XX,1
1052_TAI_HAP_XX,1
1078_WSI_HAP_XX,1
1074_IWL_HAP_XX,1
1053_ITH_HAP_XX,1
1008_IEO_HAP_HI,1
1063_IEO_HAP_MD,1
1035_TAI_HAP_XX,1
1040_TSI_HAP_XX,1
1090_TSI_HAP_XX,1
1005_IEO_ANG_HI,1
1068_IEO_HAP_HI,1
1004_WSI_HAP_XX,1
1034_TSI_HAP_XX,1
1036_IEO_HAP_HI,1
1026_DFA_FEA_XX,1
1065_TSI_HAP_XX,1
1027_TSI_HAP_XX,1
1001_ITS_FEA_XX,1
1057_IEO_ANG_MD,1
1086_IEO_HAP_MD,1
1063_TSI_HAP_XX,1
1026_ITS_HAP_XX,1
1083_IEO_HAP_HI,1
1036_WSI_HAP_XX,1
1003_IWW_ANG_XX,1
1035_IEO_HAP_MD,1
1080_TIE_ANG_XX,1
1058_TAI_HAP_XX,1
1004_IEO_HAP_MD,1
1012_DFA_HAP_XX,1
1010_IEO_HAP_HI,1
1017_WSI_HAP_XX,1
1008_TSI_HAP_XX,1
1009_TAI_HAP_XX,1
1037_ITS_HAP_XX,1
1002_MTI_HAP_XX,1
1010_IEO_DIS_MD,1
1035_IEO_HAP_HI,1
1088_ITS_HAP_XX,1
1049_TAI_HAP_XX,1
1035_IOM_HAP_XX,1
1044_TSI_HAP_XX,1
1054_MTI_HAP_XX,1
1078_IEO_HAP_HI,1
1043_TIE_HAP_XX,1
1013_TSI_HAP_XX,1
1080_IWW_ANG_XX,1
1002_WSI_HAP_XX,1
1056_TSI_HAP_XX,1
1014_WSI_HAP_XX,1
1069_TSI_HAP_XX,1
1050_IEO_HAP_MD,1
1058_TIE_HAP_XX,1
1010_TSI_HAP_XX,1
1009_IWL_ANG_XX,1
1035_TIE_DIS_XX,1
1049_IEO_DIS_MD,1
1089_IWW_HAP_XX,1
1085_WSI_HAP_XX,1
1050_WSI_HAP_XX,1
1073_WSI_HAP_XX,1
1020_IEO_HAP_HI,1
1047_IEO_HAP_HI,1
1039_IWL_HAP_XX,1
1033_ITS_HAP_XX,1
1002_TSI_HAP_XX,1
1014_TIE_HAP_XX,1
1002_IEO_HAP_LO,1
